,room_id,unit_type_name,property_design,property_type,number_of_bookings,bedroom,bathroom,beds,capacity,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,lat,lng,distance_to_coastline,area_distance_to_airport,property_bedrooms,average_baseline_price,area_name,total_fas,ratio_bedroom_bathroom,ratio_bedroom_cap,avg_price_distance_to_coast,avg_price_distance_to_airport,avg_price_bedroom,avg_price_beds,avg_price_bathroom,avg_price_total_fas
10,381229.0,Upstairs Room 3B,0.0,4.0,4,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-7.802683,110.360967,14402.1,57.25190839694657,6.0,1250221.37,Ngupasan,16.0,1.0,2.0,86.80826893300284,21837.199929333336,1250221.37,1250221.37,1250221.37,78138.835625
11,387364.0,Entire,4.0,4.0,48,2.0,2.0,2.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-7.770902,110.4285759,2259.288483838384,57.25190839694657,2.0,1058097.770520833,Maguwoharjo,13.0,1.0,4.0,468.3322993454975,18481.44105843055,529048.8852604165,529048.8852604165,529048.8852604165,81392.13619391024
12,391676.0,Bungalow,2.0,4.0,8,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.675,115.5445613,2259.288483838384,60.0,5.0,340512.095,Nusa Penida,8.0,1.0,2.0,150.7165186897656,5675.201583333333,340512.095,340512.095,340512.095,42564.011875
13,391680.0,Room,1.0,4.0,346,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-8.675762,115.56743,121.038,60.0,5.0,330666.71176396904,Nusa Penida,12.0,1.0,2.0,2731.9247820020905,5511.111862732817,330666.71176396904,330666.71176396904,330666.71176396904,27555.559313664085
14,393186.0,Studio,3.0,4.0,170,2.0,1.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-8.688048,115.579662,45.9017,60.0,3.0,398570.20197254897,Nusa Penida,12.0,2.0,2.0,8683.125068843834,6642.836699542483,199285.10098627448,199285.10098627448,398570.20197254897,33214.183497712416
15,393187.0,Bungalow,2.0,4.0,103,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-8.675,115.5445613,2259.288483838384,60.0,5.0,630112.2369255663,Nusa Penida,13.0,1.0,2.0,278.89852997216485,10501.870615426104,630112.2369255663,630112.2369255663,630112.2369255663,48470.17207119741
16,393188.0,Room,1.0,4.0,80,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.675762,115.56743,121.038,60.0,5.0,1441124.34546875,Nusa Penida,10.0,1.0,2.0,11906.37936407368,24018.73909114583,1441124.34546875,1441124.34546875,1441124.34546875,144112.434546875
17,393193.0,Room,1.0,4.0,200,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-8.688812,115.488442,596.384,60.0,4.0,253792.6261533333,Nusa Penida,11.0,1.0,2.0,425.55237255414846,4229.877102555555,253792.6261533333,253792.6261533333,253792.6261533333,23072.056923030297
18,393194.0,Bungalow (Allocation),3.0,4.0,266,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-8.67666,115.514889,26.7774,60.0,4.0,710701.6101267454,Nusa Penida,14.0,1.0,2.0,26541.098468363078,11845.026835445757,710701.6101267454,710701.6101267454,710701.6101267454,50764.40072333896
19,393195.0,Room,1.0,4.0,51,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.6768119,115.566473,2259.288483838384,60.0,5.0,308858.7075816993,Nusa Penida,8.0,1.0,2.0,136.70618417749313,5147.645126361656,308858.7075816993,308858.7075816993,308858.7075816993,38607.33844771241
20,393196.0,Bungalow,3.0,4.0,237,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-8.6965183,115.5792547,2259.288483838384,60.0,3.0,433400.2814935626,Nusa Penida,11.0,1.0,2.0,191.83043006408985,7223.338024892711,433400.2814935626,433400.2814935626,433400.2814935626,39400.02559032387
21,393198.0,Bungalow Double,1.0,4.0,161,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6788807,115.4900163,2259.288483838384,60.0,8.0,349953.8420548654,Nusa Penida,10.0,1.0,2.0,154.8955985737229,5832.564034247756,349953.8420548654,349953.8420548654,349953.8420548654,34995.38420548654
22,393201.0,Bungalow Twin,1.0,4.0,87,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6788807,115.4900163,2259.288483838384,60.0,8.0,316348.69917624514,Nusa Penida,11.0,1.0,2.0,140.0213834750263,5272.478319604085,316348.69917624514,316348.69917624514,316348.69917624514,28758.97265238592
23,393202.0,Bungalow Double,1.0,4.0,8,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6788807,115.4900163,2259.288483838384,60.0,8.0,890172.625,Nusa Penida,10.0,1.0,2.0,394.0057373672152,14836.210416666669,890172.625,890172.625,890172.625,89017.2625
24,393203.0,Standard Double,1.0,4.0,93,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6788807,115.4900163,2259.288483838384,60.0,8.0,294266.7578494623,Nusa Penida,10.0,1.0,2.0,130.24753587444584,4904.445964157704,294266.7578494623,294266.7578494623,294266.7578494623,29426.675784946223
25,393204.0,Standard Twin,1.0,4.0,73,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6788807,115.4900163,2259.288483838384,60.0,8.0,320368.30176255706,Nusa Penida,11.0,1.0,2.0,141.80052881882185,5339.471696042618,320368.30176255706,320368.30176255706,320368.30176255706,29124.39106932337
26,393205.0,Bungalow Double,1.0,4.0,79,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6788807,115.4900163,2259.288483838384,60.0,8.0,526531.4810126582,Nusa Penida,10.0,1.0,2.0,233.0519031895013,8775.524683544303,526531.4810126582,526531.4810126582,526531.4810126582,52653.14810126582
27,393206.0,Bungalow Double,1.0,4.0,57,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.6788807,115.4900163,2259.288483838384,60.0,8.0,843433.9060087719,Nusa Penida,10.0,1.0,2.0,373.3183752505269,14057.231766812863,843433.9060087719,843433.9060087719,843433.9060087719,84343.39060087719
28,393207.0,Standard Double,1.0,4.0,237,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-8.709399,115.586846,65.8603,60.0,4.0,308696.7022151898,Nusa Penida,12.0,1.0,2.0,4687.143882053222,5144.94503691983,308696.7022151898,308696.7022151898,308696.7022151898,25724.725184599152
