property_id,property_name,property_type,property_design,distance_to_coastline,area_squad,area_distance_to_airport,airport_pickup_price_idr,area_airport_name,region_id
PR0081,Yoga Searcher,5.0,0.0,824.8619999999999,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0115,Uluwatu Village House,4.0,1.0,1183.19,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0165,Uluwatu Jungle Bugalow,4.0,0.0,824.8619999999999,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0168,Batu Jaran Hill ,4.0,0.0,824.8619999999999,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0215,Uluwatu Cottages,5.0,0.0,824.8619999999999,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0245,Puri Kelapa,4.0,0.0,824.8619999999999,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0245,Puri Kelapa,4.0,0.0,824.8619999999999,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0254,The Gong,4.0,0.0,402.195,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0258,Three Monkeys,5.0,0.0,824.8619999999999,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0259,Armaya Homestay,4.0,0.0,824.8619999999999,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0396,The Ulu's Klumpu,4.0,1.0,824.8619999999999,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0181,Dinar Hills Villa,4.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0276,De Kutuh Villa,2.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0412,Maharaja Residence Homestay,2.0,4.0,2653.12,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0001,Villa Melasti Ungasan,2.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0012,Sesapi Putih,1.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0042,Villa Luna,2.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0066,Villa The Cantri,2.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0076,Villa Hali,2.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0091,Villa Matahari,2.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0093,Villa Istana Willy,2.0,4.0,2398.34,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0102,Villa Nazeki,2.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0122,Brad's Villa,2.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0145,Ocho Bali Villa,4.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0169,Villa Anak,2.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0223,Villa Be Home,2.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0240,Maha Ungasan,5.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0264,Villa Akilea,2.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0287,Vivo Villas,2.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0297,Puri Pandawa,4.0,0.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0357,Puri Bendesa Villa,2.0,4.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0360,Maha Giri Villa,2.0,4.0,2393.1099999999997,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
