unit_id,average_baseline_price,number_of_bookings,property_id,bedroom,bathroom,beds,capacity,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,property_type,property_design,lat,lng,area_id,area_name
UN0248,633203.8911666665,10,PR0229,1,1,1,2,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,4,0,,,A0013,Padang Padang
UN0250,573141.3257619047,29,PR0229,1,1,1,2,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,4,0,,,A0013,Padang Padang
UN0256,1484846.7056023886,14,PR0276,3,3,3,6,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,2,0,,,A0011,Ungasan
UN0257,1328022.2245337402,23,PR0276,3,3,3,6,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,2,0,,,A0011,Ungasan
UN0258,2227152.2321293997,23,PR0276,4,5,4,8,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,2,0,,,A0011,Ungasan
UN0259,1575416.0519413918,13,PR0276,3,3,3,6,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,2,0,,,A0011,Ungasan
UN0264,335892.7037811757,22,PR0181,1,1,1,2,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,4,0,,,A0011,Ungasan
UN0265,338423.7766680537,13,PR0181,1,1,1,2,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,4,0,,,A0011,Ungasan
UN0266,356698.1983791208,13,PR0181,1,1,1,2,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,4,0,,,A0011,Ungasan
UN0347,674086.5050920659,21,PR0160,1,1,1,2,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,4,0,-8.6509795,115.1367864,A0003,Canggu
